Rec No	Cod Imput	Tipo Movim	Fecha Comprob	Periodo Contable	Num Comprob	Descripcion	Importe	Actividad	Tipo Proveedor	Cod Provincia	Nro Ordenpago	Memo
140	80,304	Facturas Cuenta Corriente	78,618	78,621	97,073	OPER.DE ESTAC.DE SERV. SA	477.37	0	5	252	0	
141	80,304	Facturas Cuenta Corriente	78,598	78,621	53,970	OPER.DE ESTAC.DE SERV. SA	469.92	0	5	252	0	
142	10,008	Facturas Cuenta Corriente	78,621	78,621	127	SANTA CRUZ DANIEL DOMINGO	26,079.10	0	7	13	0	
143	60,602	Facturas Cuenta Corriente	78,621	78,621	51	FORNARI PEDRO EMILIO	7,923.00	0	9	252	0	
144	100,075	Facturas Cuenta Corriente	78,592	78,621	24	ANDRETICH HUGO A	900	0	8	252	0	
145	100,076	Facturas Cuenta Corriente	78,593	78,621	17,861	FERRETERIA LA TUERCA FLOJA	313.39	0	10	13	0	
146	90,456	Facturas Cuenta Corriente	78,596	78,621	6,316	SANCOR SEGUROS	469.71	0	14	18	0	
147	100,088	Facturas Cuenta Corriente	78,545	78,621	15,116	SANCOR SEGUROS	908.09	0	14	18	0	
148	100,077	Facturas Cuenta Corriente	78,605	78,621	15,316	SANCOR SEGUROS	150.9	0	14	18	0	
149	100,077	Facturas Cuenta Corriente	78,605	78,621	150,316	SANCOR SEGUROS	150.9	0	14	18	0	
150	100,077	Facturas Cuenta Corriente	78,605	78,621	15,032,016	SANCOR SEGUROS	165.83	0	14	18	0	
151	100,078	Facturas Cuenta Corriente	78,620	78,621	10,357	YPF HUGO MANCINI	10,090.83	0	5	13	0	
152	100,083	Facturas Cuenta Corriente	78,592	78,621	38,724	TORRAZA LUIS ORDEÑADORAS	1,400.00	0	15	115	0	
153	10,024	Facturas Cuenta Corriente	78,592	78,621	38,724	TORRAZA LUIS ORDEÑADORAS	6,329.12	0	15	115	0	
154	10,182	Facturas Cuenta Corriente	78,592	78,621	3,993	MAROZZI DISRTRIBUIDORA	1,504.14	0	25	252	0	
155	100,080	Facturas Cuenta Corriente	78,594	78,621	7	PIOVANO DANILO PABLO	3,762.78	0	18	13	0	
156	204	Facturas Cuenta Corriente	78,589	78,589	332	INSUTAMBO AYR	994.6	0	13	253	0	
157	100,083	Facturas Cuenta Corriente	78,598	78,621	276	TALLER METALURGICO LOPEZ	332.75	0	17	13	0	
158	10,170	Facturas Cuenta Corriente	78,598	78,621	276	TALLER METALURGICO LOPEZ	1,817.49	0	17	13	0	
159	90,502	Nota de Débito	78,598	78,621	70	COMERCIAL EUSEBIA S.A.	4,286.51	0	2	13	0	
160	90,498	Facturas Cuenta Corriente	78,608	78,621	2,338	COMERCIAL EUSEBIA S.A.	19,200.00	0	2	13	0	
161	90,498	Facturas Cuenta Corriente	78,604	78,621	2,302	COMERCIAL EUSEBIA S.A.	6,000.00	0	2	13	0	
162	10,173	Facturas Cuenta Corriente	78,602	78,621	2,291	COMERCIAL EUSEBIA S.A.	660	0	2	13	0	
163	90,488	Facturas Cuenta Corriente	78,606	78,621	2,317	COMERCIAL EUSEBIA S.A.	5,000.00	0	2	13	0	
164	90,488	Facturas Cuenta Corriente	78,621	78,621	2,436	COMERCIAL EUSEBIA S.A.	5,568.00	0	2	13	0	
165	155	Facturas Cuenta Corriente	78,621	78,621	2,436	COMERCIAL EUSEBIA S.A.	28,476.70	0	2	13	0	
166	53	Facturas Cuenta Corriente	78,621	78,621	2,436	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
167	10,173	Facturas Cuenta Corriente	78,621	78,621	2,436	COMERCIAL EUSEBIA S.A.	660	0	2	13	0	
168	155	Facturas Cuenta Corriente	78,619	78,621	2,408	COMERCIAL EUSEBIA S.A.	15,179.21	0	2	13	0	
169	90,103	Facturas Cuenta Corriente	78,619	78,621	2,408	COMERCIAL EUSEBIA S.A.	9,583.13	0	2	13	0	
170	53	Facturas Cuenta Corriente	78,619	78,621	2,408	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
171	10,501	Facturas Cuenta Corriente	78,619	78,621	2,408	COMERCIAL EUSEBIA S.A.	5,525.33	0	2	13	0	
172	155	Facturas Cuenta Corriente	78,611	78,621	2,368	COMERCIAL EUSEBIA S.A.	30,201.61	0	2	13	0	
173	53	Facturas Cuenta Corriente	78,611	78,621	2,368	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
174	90,103	Facturas Cuenta Corriente	78,599	78,621	2,239	COMERCIAL EUSEBIA S.A.	12,222.79	0	2	13	0	
175	155	Facturas Cuenta Corriente	78,599	78,621	2,239	COMERCIAL EUSEBIA S.A.	29,511.64	0	2	13	0	
176	53	Facturas Cuenta Corriente	78,599	78,621	2,239	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
